web_scraper_order,web_scraper_start_url,pagination,title,price,address,image
"1767595934-1","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5282876_uploaded_image1_1744723179.jpg"
"1767595934-2","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5282864_uploaded_image1_1744722887.jpg"
"1767595934-3","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Fourcand","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5282537_uploaded_image1_1744710329.jpg"
"1767595934-4","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Wallabees","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5282535_uploaded_image1_1744710250.jpg"
"1767595934-5","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","crocs Confort","10 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5282531_uploaded_image1_1744710129.jpg"
"1767595934-6","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Jordan 4","25 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5281091_uploaded_image1_1744633294.jpg"
"1767595934-7","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets New Balance 9060","14 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5280652_uploaded_image1_1744617829.jpg"
"1767595934-8","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Dior B22","12 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5280637_uploaded_image1_1744617017.jpg"
"1767595934-9","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5280347_uploaded_image1_1744581868.jpg"
"1767595934-10","https://sn.coinafrique.com/categorie/chaussures-homme","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales en cuir","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5279346_uploaded_image1_1744524878.jpg"
